State	Species	No.Regions	StrainID	Region
California	Lachancea kluyveri	4	yHQL417	West
California	Lachancea thermotolerans	4	yHQL419	West
Illinois	Lachancea kluyveri	4	yHQL364	Ohio Valley
Illinois	Lachancea kluyveri	4	yHRVM180	Ohio Valley
Illinois	Lachancea thermotolerans	4	yHQL353	Ohio Valley
Illinois	Lachancea thermotolerans	4	yHQL390	Ohio Valley
Louisiana	Lachancea thermotolerans	4	yHKB47	South
Michigan	Lachancea thermotolerans	4	yHRVM51	Upper Midwest
Michigan	Lachancea thermotolerans	4	yHRVM55	Upper Midwest
Michigan	Lachancea thermotolerans	4	yHKB350	Upper Midwest
Michigan	Lachancea kluyveri	4	yHAB193	Upper Midwest
Michigan	Lachancea thermotolerans	4	yHKB353	Upper Midwest
Michigan	Lachancea fermentati	2	yHDR69	Upper Midwest
Michigan	Lachancea thermotolerans	4	yHKB343	Upper Midwest
Mississippi	Lachancea fermentati	2	yHKB301	South
Missouri	Lachancea fermentati	2	yHKS60	Ohio Valley
New Hampshire	Lachancea kluyveri	4	yHKS258	Northeast
New Hampshire	Lachancea kluyveri	4	yHKS247	Northeast
New Hampshire	Lachancea kluyveri	4	yHKS245	Northeast
North Carolina	Lachancea fermentati	2	yHKS770	Southeast
North Carolina	Lachancea fermentati	2	yHKS761	Southeast
North Carolina	Lachancea thermotolerans	4	yHKS760	Southeast
North Carolina	Lachancea thermotolerans	4	yHKS741	Southeast
North Carolina	Lachancea fermentati	2	yHKS736	Southeast
North Carolina	Lachancea thermotolerans	4	yHKS745	Southeast
North Carolina	Lachancea fermentati	2	yHKS763	Southeast
North Carolina	Lachancea thermotolerans	4	yHKS738	Southeast
Oregon	Lachancea thermotolerans	4	yHQL21	Northwest
Oregon	Lachancea thermotolerans	4	yHQL2	Northwest
Oregon	Lachancea kluyveri	4	yHQL530	Northwest
Oregon	Lachancea thermotolerans	4	yHQL15	Northwest
Oregon	Lachancea thermotolerans	4	yHQL16	Northwest
Oregon	Lachancea kluyveri	4	yHQL544	Northwest
Oregon	Lachancea thermotolerans	4	yHQL4	Northwest
Oregon	Lachancea thermotolerans	4	yHQL13	Northwest
Pennsylvania	Lachancea kluyveri	4	yHQL493	Northeast
South Carolina	Lachancea fermentati	2	yHKB279	Southeast
South Carolina	Lachancea thermotolerans	4	yHRVM173	Southeast
South Carolina	Lachancea thermotolerans	4	yHRVM230	Southeast
Virginia	Lachancea fermentati	2	yHRVM109	Southeast
Virginia	Lachancea fermentati	2	yHRVM99	Southeast
Virginia	Lachancea fermentati	2	yHRVM86	Southeast
Virginia	Lachancea fermentati	2	yHRVM82	Southeast
Washington	Lachancea thermotolerans	4	yHRVM80	Northwest
Washington	Lachancea thermotolerans	4	yHKB31	Northwest
Washington	Lachancea thermotolerans	4	yHKS433	Northwest
Washington	Lachancea thermotolerans	4	yHKS455	Northwest
Washington	Lachancea thermotolerans	4	yHKS431	Northwest
Wisconsin	Lachancea fermentati	2	yHKS143	Upper Midwest
Wisconsin	Lachancea fermentati	2	yHQL230	Upper Midwest
Wisconsin	Lachancea fermentati	2	yHRM72	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS309	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHRM43	Upper Midwest
Wisconsin	Lachancea fermentati	2	yHKS2	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS85	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS100	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS101	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS102	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS103	Upper Midwest
Wisconsin	Lachancea fermentati	2	yHQL201	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS135	Upper Midwest
Wisconsin	Lachancea fermentati	2	yHQL227	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHQL681	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHRM2	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHKS7	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS82	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS84	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHRM68	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS86	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS88	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS96	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHQL284	Upper Midwest
Wisconsin	Lachancea kluyveri	4	yHKS105	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHRM76	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHKS570	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHKS349	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHKS682	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHQL251	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHKS11	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHQL211	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHKS677	Upper Midwest
Wisconsin	Lachancea thermotolerans	4	yHQL229	Upper Midwest
