Yeast_sp	Plant_genus	pval	Observed	Expected	Difference	BH_Padj
Candida coipomoensis	Taxus	0	2	0.0092	1.9908	0
Lachancea fermentati	Quercus	0	9	2.0276	6.9724	0
Metschnikowia pulcherrima sp. complex	Cercis	0	5	0.4596	4.5404	0
Nakazawaea anatomiae/populi sp. complex	Alnus	0	2	0.0125	1.9875	0
Schwanniomyces polymorphus	Pinus	0	4	0.2345	3.7655	0
Zygowilliopsis californica	Taraxacum	0	2	0.0075	1.9925	0
Kluyveromyces lactis	Quercus	1e-04	10	2.6305	7.3695	0.008225
Sydowia polyspora	Picea	1e-04	2	0.0198	1.9802	0.008225
Wickerhamomyces onychis	Festuca	2e-04	2	0.0177	1.9823	0.0146222222222222
Kwoniella betulae	Betula	3e-04	3	0.2404	2.7596	0.01974
Vanrija humicola	Amanita	5e-04	2	0.0325	1.9675	0.0299090909090909
Debaryomyces hansenii	Thuja	6e-04	3	0.1713	2.8287	0.0329
Teunomyces cretensis/kruisii complex	Amanita	7e-04	2	0.0388	1.9612	0.0348352941176471
Papiliotrema flavescens	Morus	8e-04	2	0.0552	1.9448	0.0348352941176471
Curvibasidium cygneicollum	Vaccinium	9e-04	3	0.2225	2.7775	0.0348352941176471
Kazachstania servazzii	Picea	9e-04	2	0.0522	1.9478	0.0348352941176471
Lachancea thermotolerans	Quercus	9e-04	11	4.1927	6.8073	0.0348352941176471
Lachancea kluyveri	Cercis	0.0013	3	0.2336	2.7664	0.0475222222222222
Hanseniaspora uvarum	Rubus	0.0014	5	0.8992	4.1008	0.0484842105263158
Teunomyces carpophila	Morus	0.0016	2	0.0579	1.9421	0.0501333333333333
Torulaspora delbrueckii	Acer	0.0016	17	8.0685	8.9315	0.0501333333333333
Candida boleticola	Fagus	0.0017	4	0.7013	3.2987	0.0508454545454545
Pichia kudriavzevii	Ginkgo	0.0018	2	0.0717	1.9283	0.051495652173913
Kodamaea meredithiae	Sequoiadendron	0.0019	1	0.0019	0.9981	0.0520916666666667
Saccharomyces uvarum	Cedrus	0.0023	1	0.0023	0.9977	0.0598181818181818
Torulaspora delbrueckii	Fagus	0.0024	20	10.5699	9.4301	0.0598181818181818
Suhomyces ambrosiae	Betula	0.0025	3	0.3216	2.6784	0.0598181818181818
Hanseniaspora vineae	Pyrus	0.0027	3	0.307	2.693	0.0598181818181818
Hanseniaspora uvarum	Ilex	0.0028	4	0.6156	3.3844	0.0598181818181818
Pichia kluyveri	Pyrus	0.0028	2	0.0905	1.9095	0.0598181818181818
Candida bombi	Trifolium	0.003	1	0.003	0.997	0.0598181818181818
Kluyveromyces dobzhanskii	Quercus	0.003	7	2.1962	4.8038	0.0598181818181818
Pichia membranifaciens	Malus	0.003	3	0.3148	2.6852	0.0598181818181818
Kuraishia molischiana	Gaultheria	0.0036	1	0.0036	0.9964	0.0674871794871795
Schwanniomyces vanrijiae	Juglans	0.0036	1	0.0036	0.9964	0.0674871794871795
Cryptococcus cuniculi	Abies	0.0038	1	0.0038	0.9962	0.0674871794871795
Geotrichum candidum	Sequoia	0.0038	1	0.0038	0.9962	0.0674871794871795
Mrakia curviuscula	Rosa	0.0039	1	0.0039	0.9961	0.0674871794871795
Kwoniella heveanensis	Rosa	0.004	1	0.004	0.996	0.0674871794871795
Lachancea sp.	Rosa	0.0043	1	0.0043	0.9957	0.0688604651162791
Lecythophora sp.	Tsuga	0.0044	2	0.0972	1.9028	0.0688604651162791
Cystofilobasidium capitatum	Amelanchier	0.0045	3	0.3853	2.6147	0.0688604651162791
Vishniacozyma dimennae	Lycopodium	0.0045	1	0.0045	0.9955	0.0688604651162791
Candida railenensis	Fagus	0.005	10	3.9821	6.0179	0.0729521739130435
Pichia kudriavzevii	Pyrus	0.005	2	0.1045	1.8955	0.0729521739130435
Cryptococcus aquaticus	Ailanthus	0.0051	1	0.0051	0.9949	0.0729521739130435
Nakazawaea sp.	Festuca	0.0053	1	0.0053	0.9947	0.0742
Schwanniomyces pseudopolymorphus	Thuja	0.0055	2	0.1319	1.8681	0.075012
Pichia fermentans	Pyrus	0.0056	2	0.1062	1.8938	0.075012
Schizosaccharomyces japonicus	Monotropa	0.0057	1	0.0057	0.9943	0.075012
Ogataea naganishii	Gleditsia	0.006	1	0.006	0.994	0.0769735849056604
Ogataea pini	Arctostaphylos	0.0061	1	0.0061	0.9939	0.0769735849056604
Leotiomycetes sp.	Populus	0.0062	2	0.1322	1.8678	0.0769735849056604
Rhodosporidium sp.	Arctostaphylos	0.0068	1	0.0068	0.9932	0.0828592592592593
Mrakia sp.	Acer	0.0075	13	6.4334	6.5666	0.0897272727272727
Starmerella bombicola	Rhus	0.0078	1	0.0079	0.9921	0.0911964912280702
Cystofilobasidium macerans	Amelanchier	0.0079	1	0.0079	0.9921	0.0911964912280702
Cyberlindnera veronae	Monotropa	0.0084	1	0.0085	0.9915	0.09212
Meyerozyma caribbica	Phytolacca	0.0084	1	0.0084	0.9916	0.09212
Scheffersomyces ergatensis	Fagus	0.0084	4	0.944	3.056	0.09212
Candida parapsilosis	Rhamnus	0.009	1	0.009	0.991	0.0955161290322581
Debaryomyces nepalensis	Rhamnus	0.009	1	0.009	0.991	0.0955161290322581
Metschnikowia reukaufii	Trifolium	0.0095	1	0.0095	0.9905	0.0968722222222222
Mrakia robertii	Equisetum	0.0095	1	0.0095	0.9905	0.0968722222222222
Cryptococcus pinus	Lycopodium	0.0097	1	0.0098	0.9902	0.0968722222222222
Scheffersomyces shehatae	Fagus	0.0101	3	0.5427	2.4573	0.0968722222222222
Kloeckera lindneri	Picea	0.0102	1	0.0102	0.9898	0.0968722222222222
Teunomyces carpophila	Platanus	0.0103	1	0.0104	0.9896	0.0968722222222222
Zygosaccharomyces florentinus	Acer	0.0103	2	0.2067	1.7933	0.0968722222222222
Cryptococcus filicatus	Ostrya	0.0105	1	0.0105	0.9895	0.0968722222222222
Cryptococcus pinus	Cornus	0.0105	1	0.0105	0.9895	0.0968722222222222
Papiliotrema flavescens	Malus	0.0106	2	0.1848	1.8152	0.0968722222222222
Cystofilobasidium infirmominatum	Taraxacum	0.0112	1	0.0112	0.9888	0.0995891891891892
Kazachstania kunashirensis	Cornus	0.0112	1	0.0112	0.9888	0.0995891891891892
Metschnikowia reukaufii	Syringa	0.0117	1	0.0118	0.9882	0.099889156626506
Lecythophora sp.	Tortula	0.0119	1	0.0119	0.9881	0.099889156626506
Candida argentea	Vaccinium	0.012	1	0.012	0.988	0.099889156626506
Barnettozyma californica	Quercus	0.0122	3	0.6236	2.3764	0.099889156626506
Cyberlindnera saturnus	Carya	0.0123	2	0.1671	1.8329	0.099889156626506
Candida sorboxylosa	Ginkgo	0.0125	1	0.0125	0.9875	0.099889156626506
Pichia sporocuriosa	Ginkgo	0.0125	1	0.0125	0.9875	0.099889156626506
Ogataea polymorpha	Rhododendron	0.0126	1	0.0126	0.9874	0.099889156626506
Saccharomyces eubayanus	Cedrus	0.0126	1	0.0126	0.9874	0.099889156626506
Teunomyces cretensis/kruisii complex	Tortula	0.0129	1	0.0129	0.9871	0.100943181818182
Hanseniaspora vineae	Ostrya	0.0132	2	0.1742	1.8258	0.100943181818182
Rhodosporidiobolus colostri	Claytonia	0.0132	1	0.0132	0.9868	0.100943181818182
