IsoTemp	Yeast_sp	Observed	pval
10	Ambrosiozyma oregonensis	2	0.144
10	Aureobasidium pullulans	3	0.8778
10	Aureobasidium sp.	1	0.3633
10	Barnettozyma californica	3	0.6152
10	Candida boidinii	2	0.611
10	Candida boleticola	2	0.9299
10	Candida californica	1	0.3736
10	Candida coipomoensis	1	0.5993
10	Candida derodonti	1	0.3679
10	Candida melibiosica	1	0.6012
10	Candida montana	1	0.3622
10	Candida mycetangii	1	0.9002
10	Candida nitratophila	1	0.5925
10	Candida norvegica	3	0.1417
10	Candida parapsilosis	1	0.5992
10	Candida pseudoglaebosa	5	0.0669
10	Candida pseudolambica	1	0.9837
10	Candida railenensis	16	0.4895
10	Candida sake	33	0
10	Candida santamariae	4	0.4312
10	Candida savonica	1	0.7458
10	Candida sp.	6	0.2487
10	Candida vartiovaarae	3	0.1438
10	Candida xestobii	1	0.5956
10	Cephalosporium sp.	1	0.3697
10	Cryptococcus carnescens	1	0.3646
10	Cryptococcus cuniculi	1	0.3648
10	Cryptococcus flavescens	4	0.5305
10	Cryptococcus gastricus	4	0.1337
10	Cryptococcus musci	1	0.603
10	Cryptococcus pinus	1	0.9375
10	Cryptococcus podzolicus	1	0.3703
10	Cryptococcus saitoi	1	0.3714
10	Cryptococcus sp.	3	0.707
10	Cryptococcus surugaensis	1	0.6009
10	Cryptococcus tahquamenonensis	1	0.3666
10	Cryptococcus victoriae	5	0.0285
10	Cryptococcus wisconsinensis	2	0.1283
10	Curvibasidium cygneicollum	13	0.0154
10	Cyberlindnera misumaiensis	2	0.1307
10	Cyberlindnera saturnus	10	0.9772
10	Cyberlindnera veronae	1	0.8987
10	Cystofilobasidium	1	0.3658
10	Cystofilobasidium capitatum	59	0
10	Cystofilobasidium infirmominatum	5	0.0068
10	Cystofilobasidium macarens	1	0.3727
10	Cystofilobasidium mecerans	1	0.3717
10	Cystofilobasidium sp.	1	0.3557
10	Debaryomyces hansenii	1	0.9847
10	Dothiora oleae	1	0.3609
10	Geotrichum candidum	2	0.6086
10	Goffeauzyma gastrica	1	0.5884
10	Groenewaldozyma salmanticensis	1	0.7423
10	Hanseniaspora osmophila	4	0.1419
10	Hanseniaspora sp.	2	0.3032
10	Hanseniaspora uvarum	26	0.8937
10	Hanseniaspora valbyensis	1	0.3734
10	Hanseniaspora vineae	9	0.7132
10	Holtermanniella festucosa	1	0.3648
10	Holtermanniella takashimae	1	0.5956
10	Hyphopichia pseudoburtonii	1	0.3552
10	Hypocrea lixii	1	0.3757
10	Kazachstania kunashirensis	1	0.7461
10	Kazachstania martiniae	1	1
10	Kazachstania servazzii	1	0.9859
10	Kluyveromyces dobzhanskii	11	0.1015
10	Kluyveromyces lactis	5	0.9984
10	Kodamaea meredithiae	3	0.0544
10	Kwoniella betulae	3	0.0487
10	Kwoniella heveanensis	1	0.5942
10	Kwoniella shandongensis	2	0.3032
10	Lachancea kluyveri	2	0.9999
10	Lachancea nothofagi	3	0.1439
10	Lachancea quebecensis	1	0.7498
10	Lachancea sp.	1	0.3617
10	Lachancea thermotolerans	6	0.9993
10	Lachancea thermotolerans/quebecensis	1	0.8386
10	Leotiomycetes sp.	7	0.0686
10	Leucosporidium creatinivora	1	0.3735
10	Leucosporidium drummii	1	0.3654
10	Leucosporidium fellii	1	0.5988
10	Leucosporidium scottii	7	0.015
10	Metschnikowia bicuspidata	1	0.3673
10	Metschnikowia pulcherrima sp. complex	16	0.978
10	Metschnikowia reukaufii	2	0.6012
10	Meyerozyma caribbica	2	0.9984
10	Meyerozyma guilliermondii	1	0.7432
10	Mrakia blollopis	7	0.1091
10	Mrakia frigida	5	0.0676
10	Mrakia gelida	44	0
10	Mrakia psychrophila	1	0.3691
10	Mrakia robertii	2	0.1333
10	Mrakia sp.	70	0
10	Mrakiella aquatica	2	0.2984
10	Mrakiella cryoconiti	1	0.8421
10	Nakazawaea anatomiae/populi sp. complex	5	0.8165
