IsoTemp	Yeast_sp	pval	Observed	Expected	Difference	BH_Padj
10	Candida sake	0	33	15.4551	17.5449	0
10	Cystofilobasidium capitatum	0	59	25.7615	33.2385	0
10	Mrakia gelida	0	44	20.2242	23.7758	0
10	Mrakia sp.	0	70	30.4835	39.5165	0
30	Kluyveromyces marxianus	0	11	3.6593	7.3407	0
30	Lachancea kluyveri	0	19	6.7723	12.2277	0
30	Lecythophora sp.	0	7	1.7999	5.2001	0
30	Metschnikowia pulcherrima sp. complex	0	30	16.1864	13.8136	0
4	Mrakia blollopis	1e-04	5	0.6099	4.3901	0.00443
4	Mrakia gelida	1e-04	11	2.7683	8.2317	0.00443
4	Mrakiella cryoconiti	2e-04	3	0.2016	2.7984	0.00805454545454545
30	Saccharomyces cerevisiae	5e-04	15	6.5073	8.4927	0.0170384615384615
4	Mrakia sp.	5e-04	13	4.16	8.84	0.0170384615384615
10	Rhodotorula fujisanensis	7e-04	7	2.5533	4.4467	0.02215
4	Cystofilobasidium capitatum	0.0017	10	3.5268	6.4732	0.0498375
30	Candida pseudolambica	0.0018	7	2.328	4.672	0.0498375
30	Torulaspora delbrueckii	0.0022	48	33.3741	14.6259	0.054847619047619
30	Kazachstania martiniae	0.0024	20	10.9282	9.0718	0.054847619047619
4	Rhodotorula kratochvilovae	0.0024	2	0.1017	1.8983	0.054847619047619
10	Tausonia pullulans	0.0026	9	4.0163	4.9837	0.054847619047619
4	Kwoniella heavenensis	0.0026	2	0.0991	1.9009	0.054847619047619
30	Pichia manshurica	0.0033	8	3.1115	4.8885	0.06645
30	Pichia kudriavzevii	0.0035	7	2.6249	4.3751	0.0674130434782609
22	Candida railenensis	0.0039	22	13.5303	8.4697	0.07088
30	Schizosaccharomyces japonicus	0.004	4	1.0336	2.9664	0.07088
30	Kluyveromyces lactis	0.0043	16	8.5942	7.4058	0.0732653846153846
22	Cyberlindnera saturnus	0.0047	22	13.4525	8.5475	0.0771148148148148
30	Vanrija humicola	0.0053	6	2.0963	3.9037	0.0838535714285714
4	Cryptococcus sp.	0.0057	3	0.4347	2.5653	0.0870724137931035
10	Cystofilobasidium infirmominatum	0.0068	5	1.8175	3.1825	0.100413333333333
22	Kazachstania servazzii	0.0075	7	2.8739	4.1261	0.107177419354839
30	Lachancea fermentati	0.0084	10	4.696	5.304	0.1162875
30	Saccharomyces paradoxus	0.0092	21	13.2862	7.7138	0.12350303030303
22	Kazachstania serrabonitensis	0.0103	4	1.2969	2.7031	0.134202941176471
22	Sydowia polyspora	0.0109	4	1.2792	2.7208	0.137962857142857
30	Pichia membranifaciens	0.0118	6	2.3244	3.6756	0.145205555555556
22	Cryptococcus pinus	0.0124	5	1.9135	3.0865	0.146889473684211
22	Kazachstania martiniae	0.0126	21	13.5024	7.4976	0.146889473684211
30	Debaryomyces hansenii	0.0131	6	2.354	3.646	0.148026829268293
30	Meyerozyma caribbica	0.0134	10	4.9344	5.0656	0.148026829268293
22	Torulaspora delbrueckii	0.0137	53	41.179	11.821	0.148026829268293
10	Leucosporidium scottii	0.015	7	3.3049	3.6951	0.158214285714286
10	Curvibasidium cygneicollum	0.0154	13	7.6579	5.3421	0.158655813953488
22	Saccharomyces paradoxus	0.0165	24	16.3288	7.6712	0.166125
30	Metschnikowia sp.	0.018	3	0.7894	2.2106	0.174310869565217
30	Kuraishia molischiana	0.0181	3	0.7868	2.2132	0.174310869565217
4	Curvibasidium cygneicollum	0.0185	4	1.0628	2.9372	0.174372340425532
22	Lachancea thermotolerans	0.0193	19	12.5693	6.4307	0.178122916666667
22	Hanseniaspora uvarum	0.0227	36	27.0126	8.9874	0.205226530612245
10	Rhodosporidiobolus colostri	0.0281	5	2.2296	2.7704	0.247558823529412
10	Cryptococcus victoriae	0.0285	5	2.1949	2.8051	0.247558823529412
22	Candida inconspicua	0.0323	3	0.9598	2.0402	0.275171153846154
