StrainID	OTU	Phylum	Subphylum	Lattitude	Longitude	Sample Substrate Type	Substrate Genus	Substrate Species	Substrate Common Name	Sample ID	Isolation Temp (deg. C)	Enrichment Media Glucose %	State	Collected By
yHRVM47	Ambrosiozyma oregonensis	Ascomycota	Saccharomycotina	46.482739	-86.671216	Plant Matter	Fagus	Fagus sp.	Beech	YHRVM_9CAHD2	10	8	Michigan	"Chris Hittinger, Amanda Hulfachor"
yHRVM70	Ambrosiozyma oregonensis	Ascomycota	Saccharomycotina	43.072871	-89.407803	Bark	Unknown	Unknown	Unknown	YHRVM_7D1	10	8	Wisconsin	Ryan Moriarty
yHKS296	Aureobasidium pullulans	Ascomycota	Pezizomycotina	43.567496	-72.289615	Spider	Betula	Betula papyrifera	White Birch	YHKS_#122	10	8	New Hampshire	Alysha Heimberg
yHKS451	Aureobasidium pullulans	Ascomycota	Pezizomycotina	48.725722	-122.359948	Bark	Thuja	Thuja plicata	Pacific Redcedar	YHKS_#153	30	8	Washington	Mary B. O'Neill
yHKS569	Aureobasidium pullulans	Ascomycota	Pezizomycotina	43.060776	-88.402332	Leaves	Carya	Carya ovata	Shgbark Hickory	YHKS_#212	22	8	Wisconsin	Kayla Sylvester
yHQL301	Aureobasidium pullulans	Ascomycota	Pezizomycotina	41.152729	-122.311318	Fruit	Rosa	Rosa californica	California Wildrose	YHQL_QL#15	30	8	California	Bill Vagt
yHRVM207	Aureobasidium pullulans	Ascomycota	Pezizomycotina	42.866603	-88.33655	Fruit	Malus	Malus sp.	Crabapple	YHRVM_8D4	22	8	Wisconsin	Ryan Moriarty
yHRVM288	Aureobasidium pullulans	Ascomycota	Pezizomycotina	47.103651	-122.70796	Fruit	Rubus	Rubus ursinus	Blackberry	YHRVM_6D5	22	8	Washington	Quinn Langdon
yHRVM304	Aureobasidium pullulans	Ascomycota	Pezizomycotina	47.103651	-122.70796	Plant Matter	Populus	Populus sp.	Cottonwood	YHRVM_4D5	22	8	Washington	Quinn Langdon
yHRVM324	Aureobasidium pullulans	Ascomycota	Pezizomycotina	47.103651	-122.70796	Fruit	Rubus	Rubus spectabilis	Salmonberry	YHRVM_5D5	22	8	Washington	Quinn Langdon
yHKB430	Aureobasidium pullulans	Ascomycota	Pezizomycotina	44.89	-88.3073	Leaves	Malus	Malus sp.	NA	YHKB_LS13	10	0.8	Wisconsin	Lisa Sorlie
YHMH62	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	30	0.8	North Carolina	Laura Beck
YHMH72	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	22	0.8	North Carolina	Laura Beck
YHMH74	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	22	0.8	North Carolina	Laura Beck
YHMH75	Aureobasidium pullulans	Ascomycota	Pezizomycotina	36.168237	-75.756593	Plant Matter	Rhododendron	Rhododendron sp.	Rhododendron	YHMH_21	22	0.8	North Carolina	Laura Beck
YHMH93	Aureobasidium pullulans	Ascomycota	Pezizomycotina	44.500476	-87.92386	Bark	Acer	Acer sp.	Maple	YHMH_63	10	0.8	Wisconsin	Max Haase
YHMH94	Aureobasidium pullulans	Ascomycota	Pezizomycotina	44.500476	-87.923861	Bark	Acer	Acer sp.	Maple	YHMH_63	10	0.8	Wisconsin	Max Haase
YHMH110	Aureobasidium sp.	Ascomycota	Pezizomycotina	44.499972	-87.922145	Soil	NA	NA	NA	YHMH_61	10	0.8	Wisconsin	Max Haase
yHKS584	Barnettozyma californica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#237	30	8	Wisconsin	Kayla Sylvester
yHKS610	Barnettozyma californica	Ascomycota	Saccharomycotina	43.695741	-87.718414	Soil	Fagus	Fagus grandifolia	American Beech	YHKS_#237	22	8	Wisconsin	Kayla Sylvester
yHKS70	Barnettozyma californica	Ascomycota	Saccharomycotina	40.196441	-92.579533	Soil	Quercus	Quercus alba	White Oak	YHKS_#4M	30	8	Missouri	William Alexander
yHQL202	Barnettozyma californica	Ascomycota	Saccharomycotina	43.122028	-89.484072	Soil	NA	NA	NA	YHQL_14	30	8	Wisconsin	Sarah Wright
yHQL261	Barnettozyma californica	Ascomycota	Saccharomycotina	43.122028	-89.484072	Bark	Unknown	Unknown	Unknown	YHQL_11	10	8	Wisconsin	Sarah Wright
yHQL267	Barnettozyma californica	Ascomycota	Saccharomycotina	43.189523	-89.622457	Soil	Quercus	Quercus macrocarpa	Bur Oak	YHQL_17	10	8	Wisconsin	Sarah Wright
yHQL275	Barnettozyma californica	Ascomycota	Saccharomycotina	43.025855	-89.844325	Soil	Quercus	Quercus alba	White Oak	YHQL_6	10	8	Wisconsin	Sarah Wright
yHMJ29	Barnettozyma californica	Ascomycota	Saccharomycotina	43.312305	-91.781281	Bark	Unknown	Unknown	Unknown	YHMJ_25	22	0.8	Iowa	Martin jarzyna
yHMJ37	Barnettozyma californica	Ascomycota	Saccharomycotina	43.312305	-91.781281	Bark	Unknown	Unknown	Unknown	YHMJ_25	22	0.8	Iowa	martin jarzyna
yHAB196	Blastobotrys buckinghamii	Ascomycota	Saccharomycotina	46.601361	-85.19079	Fungus	Fagus	Fagus grandifolia	American Beech	YHAB_2.3	30	8	Michigan	ABH/CTH
yHKS558	Cadophora malorum	Ascomycota	Pezizomycotina	60.69155	-151.289609	Sand	NA	NA	NA	YHKS_#209	22	8	Alaska	Jacob Barnes
yHKB465	Candida albicans	Ascomycota	Saccharomycotina	29.4241	-98.4936	Duff	Unknown	Unknown	Unknown	YHKB_TX1	30	8	Texas	Kelly Buh
yHQL539	Candida albicans	Ascomycota	Saccharomycotina	45.87153	-122.793825	Fruit	Arctostaphylos	Arctostaphylos uva-ursi	Manzanita	YHQL_Ql#28	22	8	Oregon	Bill Vagt
