State	Region	No..independent.isolations	No..unique.species	LatCenter	LongCenter
Alaska	Arctic	44	25	51	-126
Arizona	Southwest	0	0	34.048927	-111.093735
California	West	40	33	36.778259	-119.417931
Georgia	Southeast	105	32	33.247875	-83.441162
Indiana	Ohio Valley	144	61	40.273502	-86.126976
New York	Northeast	140	58	43	-75
Oklahoma	South	32	24	36.084621	-96.921387
South Dakota	Northern Rockies and Plains	6	6	44.5	-100
Washington	Northwest	136	59	47.751076	-120.740135
Wisconsin	Upper Midwest	868	177	44.5	-89.5
