State	StrainID	Species	Region
Alaska	yHKS635	Mrakia gelida	Arctic
Alaska	yHQL553	Metschnikowia viticola	Arctic
Alaska	yHQL531	Lecythophora sp.	Arctic
Alaska	yHKS627	Leotiomycetes sp.	Arctic
Alaska	yHKS625	Leotiomycetes sp.	Arctic
Alaska	yHKS637	Leotiomycetes sp.	Arctic
Alaska	yHKS565	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHQL471	Lachancea nothofagi	Arctic
Alaska	yHKS568	Candida sp.	Arctic
Alaska	yHQL413	Lecythophora sp.	Arctic
Alaska	yHKS634	Candida sake	Arctic
Alaska	yHKS555	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHQL470	Cephalosporium sp.	Arctic
Alaska	yHKS654	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHKS626	Leotiomycetes sp.	Arctic
Alaska	yHKS559	Leotiomycetes sp.	Arctic
Alaska	yHKS547	Leotiomycetes sp.	Arctic
Alaska	yHQL468	Tausonia pullulans	Arctic
Alaska	yHKS554	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHQL533	Lecythophora sp.	Arctic
Alaska	yHKS562	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHKS629	Candida sake	Arctic
Alaska	yHKS546	Leotiomycetes sp.	Arctic
Alaska	yHKS566	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHKS567	Candida sake	Arctic
Alaska	yHKS556	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHKS633	Leotiomycetes sp.	Arctic
Alaska	yHKS549	Curvibasidium cygneicollum	Arctic
Alaska	yHKS636	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHQL467	Peterozyma toletana	Arctic
Alaska	yHQL537	Coniochaeta hoffmannii	Arctic
Alaska	yHQL473	Cystofilobasidium sp.	Arctic
Alaska	yHKS553	Tremella encephala	Arctic
Alaska	yHKS638	Mrakia sp.	Arctic
Alaska	yHQL536	Lecythophora sp.	Arctic
Alaska	yHQL535	Lecythophora sp.	Arctic
Alaska	yHQL549	Talaromyces amestolkiae	Arctic
Alaska	yHKS564	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHKS548	Curvibasidium cygneicollum	Arctic
Alaska	yHKS557	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHQL552	Candida zeylanoides	Arctic
Alaska	yHKS558	Cadophora malorum	Arctic
Alaska	yHQL538	Rhodotorula mucilaginosa	Arctic
Alaska	yHKS563	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHQL550	Talaromyces amestolkiae	Arctic
Alaska	yHKS632	Mrakia sp.	Arctic
Alaska	yHKS552	Sydowia polyspora	Arctic
Alaska	yHKS630	Nakazawaea anatomiae/populi sp. complex	Arctic
Alaska	yHKS560	Wickerhamomyces anomalus	Arctic
Alaska	yHKS551	Sydowia polyspora	Arctic
Alaska	yHQL551	Scleroconidioma sphagnicola	Arctic
Alaska	yHQL534	Lecythophora sp.	Arctic
Alaska	yHQL472	Leucosporidium scottii	Arctic
Alaska	yHKS631	Leotiomycetes sp.	Arctic
Alaska	yHKB45	Candida sake	Arctic
Alaska	yHQL532	Lecythophora sp.	Arctic
Alaska	yHQL546	Teunomyces cretensis/kruisii complex	Arctic
Alaska	yHKS550	Sydowia polyspora	Arctic
Alaska	yHQL547	Scleroconidioma sphagnicola	Arctic
Arkansas	yHKB310	Saccharomyces cerevisiae	South
Arkansas	yHKB329	Meyerozyma caribbica	South
Arkansas	yHKB305	Saccharomyces cerevisiae	South
California	yHQL441	Candida sake	West
California	yHQL494	Lachancea sp.	West
California	yHQL432	Mrakiella cryoconiti	West
California	yHQL418	Saccharomyces paradoxus	West
California	yHQL336	Sugiyamaella chiloensis	West
California	yHQL419	Lachancea thermotolerans	West
California	yHQL495	Kwoniella heveanensis	West
California	yHQL449	Candida derodonti	West
California	yHQL435	Curvibasidium cygneicollum	West
California	yHQL333	Ogataea pini	West
California	yHQL450	Suhomyces tanzawaensis	West
California	yHQL443	Hanseniaspora valbyensis	West
California	yHQL440	Candida sake	West
California	yHQL434	Tausonia pullulans	West
California	yHQL322	Candida santamariae	West
California	yHQL417	Lachancea kluyveri	West
California	yHQL334	Lecythophora sp.	West
California	yHQL335	Lecythophora sp.	West
California	yHQL442	Saccharomyces paradoxus	West
California	yHQL447	Cystofilobasidium capitatum	West
California	yHQL329	Mrakia curviuscula	West
California	yHQL433	Rhodosporidium sp.	West
California	yHQL303	Geotrichum candidum	West
California	yHQL527	Candida sp.	West
California	yHQL452	Suhomyces tanzawaensis	West
California	yHQL415	Pichia pastoris	West
California	yHQL302	Nakazawaea holstii	West
California	yHQL437	Kodamaea meredithiae	West
California	yHQL438	Candida sp.	West
California	yHQL451	Candida sp.	West
California	yHQL300	Metschnikowia reukaufii	West
California	yHQL454	Candida santamariae	West
California	yHQL416	Torulaspora delbrueckii	West
California	yHQL436	Kodamaea meredithiae	West
California	yHQL439	Candida santamariae	West
California	yHQL299	Metschnikowia reukaufii	West
California	yHQL304	Geotrichum candidum	West
California	yHQL307	Nakazawaea holstii	West
California	yHQL330	Rhodotorula nothofagi	West
California	yHQL320	Candida silvanorum	West
California	yHQL496	Saccharomyces paradoxus	West
California	yHQL453	Teunomyces cretensis/kruisii complex	West
California	yHQL448	Suhomyces tanzawaensis	West
California	yHQL445	Candida santamariae	West
California	yHQL324	Candida santamariae	West
California	yHQL446	Candida santamariae	West
California	yHQL321	Hanseniaspora vineae	West
California	yHQL305	Metschnikowia pulcherrima sp. complex	West
California	yHQL301	Aureobasidium pullulans	West
California	yHQL444	Candida santamariae	West
California	yHQL323	Suhomyces tanzawaensis	West
Florida	yHKB22	Meyerozyma caribbica	Southeast
Florida	yHKB13	Candida sanyaensis	Southeast
Georgia	yHKB56	Pueraria montana	Southeast
Georgia	yHKB6	Cyberlindnera saturnus	Southeast
Georgia	yHKB2	Torulaspora delbrueckii	Southeast
Georgia	yHQL502	Meyerozyma caribbica	Southeast
Georgia	yHKB5	Saccharomyces cerevisiae	Southeast
Georgia	yHKB3	Kazachstania martiniae	Southeast
Georgia	yHKB7	Kazachstania martiniae	Southeast
Georgia	yHQL466	Torulaspora delbrueckii	Southeast
Illinois	yHQL352	Teunomyces carpophila	Ohio Valley
Illinois	yHRVM285	Mrakia blollopis	Ohio Valley
Illinois	yHQL380	Pichia kudriavzevii	Ohio Valley
Illinois	yHQL372	Candida pseudolambica	Ohio Valley
Illinois	yHRVM189	Kluyveromyces lactis	Ohio Valley
Illinois	yHQL390	Lachancea thermotolerans	Ohio Valley
Illinois	yHQL373	Torulaspora delbrueckii	Ohio Valley
Illinois	yHRVM286	Mrakia blollopis	Ohio Valley
Illinois	yHRVM163	Metschnikowia pulcherrima sp. complex	Ohio Valley
Illinois	yHRVM190	Torulaspora delbrueckii	Ohio Valley
Illinois	yHRVM239	Hanseniaspora sp.	Ohio Valley
Illinois	yHQL355	Hanseniaspora uvarum	Ohio Valley
Illinois	yHRVM143	Torulaspora delbrueckii	Ohio Valley
Illinois	yHKB384	Leucosporidium fellii	Ohio Valley
Illinois	yHQL347	Candida tropicalis	Ohio Valley
