Collection	Number	StrainID							Sample Type	Max Score	Total Score	Query Coverage	Evalue	Max Identity	Accession Number (ITS)	Accession Number (D1D2)			
yHAB	169	yHAB169							Soil	728	728	100%	0.0	100%	KM384037				
yHAB	196T	yHAB196T							Mushroom	614	614	100%	2.00E-172	89%	KM384447	KM408120			
yHKS	328	yHKS328							Bark	610	610	100%	3.00E-171	99%	KM384038				
yHKS	467	yHKS467							Soil	1079	1079	100%	0.0	99%	KM384039				
yHAB	194	yHAB194							Infected Leaves	1007	1007	100%	0.0	100%	KM384040				
yHKS	317	yHKS317							Orange fuzzy growth 	967	967	100%	0.0	100%	KM384041				
yHKS	363	yHKS363							"Pink stemed, white berries"	794	794	100%	0.0	99%	KM384042				
yHKS	365	yHKS365							Orange fuzzy growth 	978	978	99%	0.0	99%	KM384043				
yHAB	179	yHAB179							Raspberries	699	699	100%	0.0	99%	KM384044				
yHAB	189	yHAB189							Mushroom	655	655	100%	0.0	100%	KM384045				
yHAB	190	yHAB190							Mushroom	664	664	99%	0.0	99%	KM384046				
yHAB	191	yHAB191							Mushroom	668	668	100%	0.0	100%	KM384047				
yHAB	195	yHAB195							Mushroom	389	389	100%	7.00E-105	100%	KM384048				
yHAB	205	yHAB205							Mushroom	663	663	100%	0.0	100%	KM384049				
yHAB	215	yHAB215							Mushroom	650	650	100%	0.0	99%	KM384050				
yHKS	187	yHKS187							Unknown	655	655	100%	0.0	100%	KM384051				
yHKS	316	yHKS316							Fungal (Woodlike) growth   	657	657	100%	0.0	99%	KM384052				
yHKS	355	yHKS355							Fungal (Woodlike) growth   	639	639	100%	8.00E-180	99%	KM384053				
yHKS	380	yHKS380							Fungal (Woodlike) growth   	679	679	100%	0.0	99%	KM384054				
yHKS	381	yHKS381							Fungal (Woodlike) growth   	686	686	100%	0.0	100%	KM384055				
yHKS	261	yHKS261							 Leaves	1031	1031	100%	0.0	99%	KM384059				
yHKS	47	yHKS47							Bark	677	677	99%	0.0	84%	KM384442	KM408134			
yHKS	59	yHKS59							Soil	367	367	98%	4.00E-98	90%	KM384611	KM408135			
yHRM	67	yHRM67							Soil	437	437	100%	3.00E-119	88%	KM384060	KM408138			
yHRM	77	yHRM77							Moss	444	444	100%	2.00E-121	88%	KM384061	KM408139			
yHAB	184	yHAB184							Soil	601	601	100%	1.00E-168	98%	KM384062				
yHKS	383	yHKS383							Soil	854	854	100%	0.0	99%	KM384063				
yHKS	327	yHKS327							Rotting Bark	976	976	100%	0.0	100%	KM384064				
yHKS	200	yHKS200							Soil	942	942	100%	0.0	99%	KM384065				
yHKS	201	yHKS201							Soil	821	821	100%	0.0	100%	KM384066				
yHKS	203	yHKS203							Soil	967	967	100%	0.0	99%	KM384067				
yHKS	205	yHKS205							Soil	987	987	100%	0.0	99%	KM384068				
yHKS	263	yHKS263							Dried Fruit	1007	1007	100%	0.0	100%	KM384069				
yHKS	279	yHKS279							Bark 	1005	1005	100%	0.0	100%	KM384070				
yHKS	354	yHKS354							"Pink stemed, white berries"	792	792	100%	0.0	99%	KM384071				
yHKS	366	yHKS366							Soil	848	848	99%	0.0	99%	KM384072				
yHKS	368	yHKS368							Bark	825	825	100%	0.0	100%	KM384073				
yHKS	468	yHKS468							Bark (Green Growth)	975	975	100%	0.0	100%	KM384074				
yHRM	8	yHRM8							Soil	985	985	100%	0.0	100%	KM384075				
yHAB	256	yHAB256							Soil	682	682	99%	0.0	99%	KM384076				
yHKS	213	yHKS213							Bark	646	646	100%	0.0	99%	KM384077				
yHKS	281	yHKS281							 Leaves	670	670	98%	0.0	99%	KM384608				
yHKS	335	yHKS335							 Leaves	688	688	99%	0.0	99%	KM384078				
yHKS	416	yHKS416							Soil	675	675	99%	0.0	99%	KM384079				
yHKS	486	yHKS486							Bark (Grassy andMossy)	634	634	100%	2.00E-178	99%	KM384080				
yHKS	487	yHKS487							Bark (Grassy andMossy)	677	677	99%	0.0	99%	KM384081				
yHKS	488	yHKS488							Soil	682	682	100%	0.0	99%	KM384082				
yHKS	244	yHKS244							 Leaves	392	392	96%	2.00E-105	99%	KM384083				
yHKS	260	yHKS260							 Leaves	985	985	100%	0.0	99%	KM384084				
yHRM	59	yHRM59							Soil	948	948	100%	0.0	99%	KM384085				
yHAB	170	yHAB170							Soil	572	572	100%	8.00E-160	99%	KM384086				
yHAB	216	yHAB216							Bark with Fungus	551	551	99%	1.00E-153	100%	KM384087				
yHBJ	21T	yHBJ21T							White Slime	365	365	63%	2.00E-97	88%	KM384539	KM408126			
yHRM	19	yHRM19							Leaves	940	940	100%	0.0	99%	KM384088				
yHRM	41	yHRM41							Leaves	922	922	100%	0.0	99%	KM384089				
yHKS	257	yHKS257							Baby Spiders  	829	829	100%	0.0	99%	KM384090				
yHKS	29	yHKS29							Bark	1003	1003	100%	0.0	100%	KM384091				
yHKS	32	yHKS32							Bark	998	998	100%	0.0	100%	KM384092				
yHKS	232	yHKS232							Soil	1018	1108	100%	0.0	99%	KM384093				
yHKS	239	yHKS239							Soil	1011	1011	100%	0.0	99%	KM384094				
yHKS	240	yHKS240							Soil	1003	1003	100%	0.0	100%	KM384095				
yHRM	5	yHRM5							Soil	830	830	100%	0.0	96%	KM384096				
yHAB	171	yHAB171							Mushroom	820	820	100%	0.0	100%	KM384097				
yHAB	243	yHAB243							Mushroom	688	688	100%	0.0	100%	KM384098				
yHAB	208	yHAB208							Pine Cone	895	895	100%	0.0	99%	KM384099				
yHKS	218	yHKS218							Bark	627	627	98%	5.00E-176	94%	KM384100				
yHKS	298	yHKS298							Soil	715	715	96%	0.0	93%	KM384104				
yHKS	491	yHKS491							Bark	690	690	96%	0.0	93%	KM384607				
yHRM	16	yHRM16							Soil	875	875	100%	0.0	100%	KM384108				
yHAB	242T	yHAB242T							Soil	1027	1027	100%	0.0	99%	KM384610	KM408125			
yHKS	333	yHKS333							Bark (Bottom)	816	816	100%	0.0	99%	KM384107	KM408132			
